Company_Name,HeadQuarter,Sector,Amount($),Stage,Year,Investor
APAC Financial Services,"Mumbai, Maharashtra, India","Finance, Financial Services",35000000.0,Equity,2018,
Moglix,"Noida, Uttar Pradesh, India","B2B, E-Commerce, Mobile",23000000.0,Series C,2018,
MadGuy Labs,"Hyderabad, Andhra Pradesh, India",E-Learning,150000.0,,2018,
Shop101,"Mumbai, Maharashtra, India","Apps, E-Commerce, Internet",11000000.0,Series B,2018,
FeedMyPockets,"Bangalore City, Karnataka, India","Advertising, Human Resources, Marketing",616000.0,Seed,2018,
Housejoy,"Bengaluru, Karnataka, India","Beauty, Fitness, Home Services, Internet",3240000.0,Series B,2018,
FoodBuddy,"Belgaum, Karnataka, India","Food Delivery, Online Portals, Restaurants",840000.0,Seed,2018,
Ninjacart,"Bengaluru, Karnataka, India","AgTech, B2B, Supply Chain Management",35000000.0,Series B,2018,
BYJU’S,"Bangalore, Karnataka, India","EdTech, Education, Higher Education, Secondary Education",540000000.0,Equity,2018,
Wakefit,"Bangalore, Karnataka, India","Manufacturing, Retail",9100000.0,,2018,
Hero Electric,"New Delhi, Delhi, India",Manufacturing,22400000.0,,2018,
PerkFinance,"Bangalore, Karnataka, India","Consumer Lending, FinTech",900000.0,Seed,2018,
Roposo,"Gurgaon, Haryana, India","Internet, Social Network, TV",10000000.0,Series C,2018,
Wow Venue,"Mumbai, Maharashtra, India",Events,1500000.0,,2018,
OTO Capital,"Mumbai, Maharashtra, India",Automotive,700000.0,Seed,2018,
Boodmo,"Gurgaon, Haryana, India","Automotive, Retail",980000.0,Seed,2018,
MyNewCar.in,"Gurgaon, Haryana, India","Automotive, E-Commerce",1000000.0,,2018,
HalaPlay Technologies,"Bangalore, Karnataka, India","Digital Entertainment, Fantasy Sports, Sports",5000000.0,Series A,2018,
PlanetSpark,"Gurgaon, Haryana, India","E-Learning, EdTech, Education",224000.0,Seed,2018,
WheelsEMI,"Pune, Maharashtra, India",—,14000000.0,Series B,2018,
Forum for Innovation Incubation Research and Entrepreneurship,"Margão, Goa, India","Funding Platform, Incubators, Non Profit",1435000.0,Grant,2018,
OYO,"Gurgaon, Haryana, India","Hospitality, Hotel, Leisure, Travel",100000000.0,Series E,2018,
Quikr,"Bangalore, Karnataka, India","Classifieds, Internet, Marketplace, Rental Property",7700000.0,Debt Financing,2018,
LearnApp,"Noida, Uttar Pradesh, India","Banking, E-Learning, Trading Platform",280000.0,Seed,2018,
Shopkirana,"Indore, Madhya Pradesh, India","E-Commerce, Mobile, Retail",2000000.0,,2018,
Articbot,"Kannur, Kerala, India","Artificial Intelligence, Information Technology",16800.0,Grant,2018,
BuildSupply,"Gurgaon, Haryana, India","Enterprise Resource Planning (ERP), Information Services, Information Technology, Real Estate",3500000.0,Series A,2018,
Fusion Microfinance,"New Delhi, Delhi, India","Banking, Finance, Financial Services",72800000.0,Series E,2018,
Guiddoo World,"Mumbai, Maharashtra, India","Audio, Mobile, Tourism, Travel",800000.0,Seed,2018,
